Energieleverancier,Contract,Enkel,Normaal,Dal
BudgetEnergie,Variabel,"0,256","0,256","0,256"
BudgetEnergie,Vast (1 jaar),"0,231","0,231","0,231"
BudgetEnergie,Vast (3 jaar),"0,233","0,233","0,233"
Clean Energy,Variabel,"0,274","0,279","0,267"
Clean Energy,Vast (1 jaar),"0,243","0,246","0,239"
Clean Energy,Vast (3 jaar),"0,242","0,245","0,238"
Coolblue,Vast (1 jaar),"0,233","0,242","0,223"
Coolblue,Vast (3 jaar),"0,230","0,237","0,222"
Delta Energie,Variabel,"0,287","0,296","0,278"
Delta Energie,Vast (1 jaar),"0,275","0,275","0,275"
Delta Energie,Vast (3 jaar),"0,286","0,286","0,286"
Eneco,Variabel,"0,245","0,250","0,241"
Eneco,Vast (1 jaar),"0,233","0,238","0,229"
Eneco,Vast (3 jaar),"0,231","0,232","0,229"
Energie VanOns,Variabel,"0,303","0,339","0,266"
Energie VanOns,Vast (1 jaar),"0,288","0,305","0,272"
Energiedirect,Vast (1 jaar),"0,238","0,238","0,237"
Energiedirect,Vast (2 jaar),"0,238","0,238","0,237"
Energiedirect,Vast (3 jaar),"0,260","0,260","0,259"
Engie,Variabel,"0,248","0,248","0,248"
Engie,Vast (1 jaar),"0,239","0,239","0,239"
Engie,Vast (3 jaar),"0,231","0,231","0,231"
Essent,Variabel,"0,300","0,300","0,298"
Essent,Vast (1 jaar),"0,241","0,241","0,240"
Essent,Vast (3 jaar),"0,280","0,280","0,279"
Innova Energie,Vast (1 jaar),"0,261","0,266","0,259"
Innova Energie,Vast (2 jaar),"0,260","0,265","0,257"
Innova Energie,Vast (3 jaar),"0,258","0,264","0,254"
Mega,Variabel,"0,297","0,300","0,286"
Mega,Vast (1 jaar),"0,262","0,265","0,253"
Mega,Vast (2 jaar),"0,268","0,272","0,260"
Mega,Vast (3 jaar),"0,270","0,273","0,261"
OM,Variabel,"0,291","0,336","0,260"
OM,Vast (1 jaar),"0,263","0,278","0,254"
Oxxio,Variabel,"0,240","0,244","0,237"
Oxxio,Vast (1 jaar),"0,228","0,232","0,224"
Oxxio,Vast (3 jaar),"0,224","0,226","0,224"
Powerpeers,Variabel,"0,267","0,267","0,267"
Pure Energie,Vast (1 jaar),"0,236","0,240","0,231"
UnitedConsumers,Vast (1 jaar),"0,247","0,265","0,228"
UnitedConsumers,Vast (3 jaar),"0,248","0,267","0,226"
Vandebron,Variabel,"0,252","0,275","0,229"
Vandebron,Vast (1 jaar),"0,233","0,249","0,216"
Vandebron,Vast (2 jaar),"0,231","0,248","0,215"
Vandebron,Vast (3 jaar),"0,231","0,247","0,214"
Vattenfall,Variabel,"0,257","0,276","0,241"
Vattenfall,Vast (1 jaar),"0,222","0,222","0,222"
Gemiddeld,-,"0,253","0,260","0,246"
